XinV,YinV,RinV,outputphase
6.89034e-005,0.000551227,0.000555519,82.866
6.96187e-005,0.000554327,0.000558618,82.824
7.08108e-005,0.000550274,0.000554565,82.668
6.84266e-005,0.000546459,0.000550751,82.836
6.60424e-005,0.000548605,0.00055242,83.124
6.8665e-005,0.000550512,0.000554804,82.878
7.08108e-005,0.000549082,0.000553612,82.65
7.08108e-005,0.000546698,0.000551466,82.602
6.93803e-005,0.000548605,0.000552896,82.782
7.03339e-005,0.000551943,0.000556473,82.722
7.10492e-005,0.000550751,0.000555281,82.638
7.00955e-005,0.000549797,0.000554089,82.71
6.8665e-005,0.000552658,0.00055695,82.902
7.08108e-005,0.000552896,0.000557426,82.704
7.36718e-005,0.00054789,0.000552896,82.326
6.98571e-005,0.00054932,0.00055385,82.74
6.74729e-005,0.000550989,0.000555281,82.998
7.05724e-005,0.000551227,0.000555757,82.698
7.12876e-005,0.000548843,0.000553612,82.578
6.89034e-005,0.000546698,0.000550989,82.806
7.05724e-005,0.000549797,0.000554089,82.674
7.34334e-005,0.00055242,0.000557188,82.422
7.20029e-005,0.000550274,0.000554804,82.53
7.00955e-005,0.000548843,0.000553373,82.698
7.03339e-005,0.000552658,0.000557188,82.734
7.34334e-005,0.000551704,0.000556473,82.398
6.96187e-005,0.000549797,0.000554089,82.764
6.77113e-005,0.000551466,0.000555519,82.986
6.96187e-005,0.000551943,0.000556234,82.806
7.17645e-005,0.000549559,0.000554089,82.536
6.79498e-005,0.000548605,0.000552658,82.92
6.77113e-005,0.000549797,0.00055385,82.968
7.00955e-005,0.000551466,0.000555757,82.734
7.10492e-005,0.000549559,0.000554089,82.62
6.98571e-005,0.000549797,0.000554089,82.746
7.08108e-005,0.000551943,0.000556234,82.668
7.43871e-005,0.000550989,0.000555996,82.302
7.3195e-005,0.000548605,0.000553373,82.386
6.84266e-005,0.00054789,0.000552181,82.878
6.91419e-005,0.000551943,0.000556234,82.842
7.17645e-005,0.00055242,0.000557188,82.578
6.98571e-005,0.000551704,0.000556234,82.77
6.74729e-005,0.000551943,0.000556234,83.016
6.79498e-005,0.000551466,0.000555519,82.968
7.12876e-005,0.000549559,0.000554089,82.59
6.98571e-005,0.00054932,0.00055385,82.74
7.03339e-005,0.000550751,0.000555281,82.71
7.53407e-005,0.000550274,0.000555281,82.188
7.17645e-005,0.000547413,0.000551943,82.506
7.12876e-005,0.00054789,0.00055242,82.584
7.00955e-005,0.000550274,0.000554804,82.722
7.08108e-005,0.000550035,0.000554565,82.644
6.93803e-005,0.000549559,0.00055385,82.794
6.84266e-005,0.000550274,0.000554565,82.89
6.96187e-005,0.000551466,0.000555757,82.788
6.98571e-005,0.000550274,0.000554804,82.752
6.84266e-005,0.000548128,0.00055242,82.86
6.79498e-005,0.000550751,0.000554804,82.962
7.39102e-005,0.000551466,0.000556473,82.362
7.29566e-005,0.00054932,0.000554089,82.434
7.10492e-005,0.000549797,0.000554565,82.626
6.98571e-005,0.000551943,0.000556234,82.77
7.10492e-005,0.000550751,0.000555281,82.638
7.08108e-005,0.000551227,0.000555757,82.68
6.96187e-005,0.000550512,0.000554804,82.77
7.08108e-005,0.00055242,0.00055695,82.698
7.27181e-005,0.000552896,0.000557665,82.494
